iter	MultiClass
0	1.377521205
1	1.233618962
2	1.115331652
3	1.023814344
4	0.951327215
5	0.89370996
6	0.8327619485
7	0.7741981739
8	0.7208081566
9	0.6747157509
10	0.6344380298
11	0.5999820641
12	0.5689244041
13	0.5423844963
14	0.5178497241
15	0.4957960211
16	0.4757236593
17	0.4585762728
18	0.4425079585
19	0.4272078996
20	0.4141470818
21	0.4020380001
22	0.3887023607
23	0.3767580633
24	0.3671822552
25	0.3578150138
26	0.349361474
27	0.3423084291
28	0.3347591205
29	0.3282828521
30	0.321909274
31	0.3152710906
32	0.3103154474
33	0.3050490454
34	0.3012157901
35	0.2965720344
36	0.2923733229
37	0.2880146021
38	0.2849259831
39	0.2816233161
40	0.2782090555
41	0.2759190021
42	0.2726580283
43	0.2701707852
44	0.2668496576
45	0.2639843905
46	0.2616255452
47	0.2595363631
48	0.2580722558
49	0.2564127687
50	0.2539325108
51	0.252573038
52	0.250639114
53	0.248253107
54	0.2463002863
55	0.2440470228
56	0.2430943138
57	0.2412996577
58	0.2400618404
59	0.2388877105
60	0.2374538256
61	0.236216421
62	0.2352222792
63	0.2339441198
64	0.2322812853
65	0.2306529002
66	0.2291971504
67	0.2279000756
68	0.226620153
69	0.2256832453
70	0.2245632489
71	0.2235490049
72	0.2223064928
73	0.2211208638
74	0.2195074269
75	0.218243101
76	0.2175792422
77	0.2169252964
78	0.2161367479
79	0.2151558205
80	0.2143668009
81	0.2139216425
82	0.2129167654
83	0.2117383746
84	0.2103597632
85	0.2093528734
86	0.2081734462
87	0.2071046094
88	0.206423746
89	0.2049181705
90	0.203911507
91	0.2031393806
92	0.2021057421
93	0.2014726295
94	0.2009127694
95	0.2000105597
96	0.1994973978
97	0.1984942994
98	0.1974969323
99	0.1968611078
100	0.1949544441
101	0.1944151361
102	0.1935248917
103	0.1925921386
104	0.1912854794
105	0.1907667395
106	0.1900601559
107	0.1892632229
108	0.1882755685
109	0.1872264051
110	0.1864666631
111	0.185970832
112	0.185416759
113	0.184747265
114	0.1839198194
115	0.1830777706
116	0.1824952561
117	0.1822365024
118	0.1819834573
119	0.1816348388
120	0.1810313759
121	0.1804546839
122	0.1801908656
123	0.1794858642
124	0.1788408149
125	0.1781587063
126	0.1771333859
127	0.1768012922
128	0.1759997823
129	0.1752697372
130	0.1747087189
131	0.1743641542
132	0.1738586147
133	0.1729167871
134	0.1720319602
135	0.1711674913
136	0.1704277488
137	0.169701656
138	0.169339811
139	0.1684843256
140	0.1681089008
141	0.167550666
142	0.1668872535
143	0.1664577337
144	0.1660288024
145	0.1652471704
146	0.1647330161
147	0.1642162541
148	0.1638064266
149	0.1634294785
150	0.1630412001
151	0.1626852674
152	0.1620983265
153	0.1617125388
154	0.1609527634
155	0.1603879561
156	0.1597433166
157	0.159150006
158	0.1584744119
159	0.1578750613
160	0.1576640692
161	0.1573747284
162	0.1566077471
163	0.15586472
164	0.1551036837
165	0.1544854336
166	0.1541072885
167	0.1535194229
168	0.1531864621
169	0.1528424597
170	0.1525209437
171	0.1521701083
172	0.1517017142
173	0.1514730142
174	0.1509583219
175	0.1504711958
176	0.1500680078
177	0.1496841541
178	0.1490772859
179	0.1483431069
180	0.1479858024
181	0.1475668586
182	0.1469504424
183	0.1465828411
184	0.1464656697
185	0.1457177272
186	0.1451125924
187	0.144733825
188	0.1442580903
189	0.1437698872
190	0.143401497
191	0.1428222435
192	0.1422243612
193	0.1417334554
194	0.1413196732
195	0.1407920893
196	0.1405432826
197	0.1400534985
198	0.1396008989
199	0.1392964465
