iter	Passed	Remaining
0	75	14949
1	107	10620
2	194	12748
3	294	14434
4	381	14881
5	470	15200
6	571	15758
7	685	16455
8	781	16575
9	876	16660
10	1072	18427
11	1194	18716
12	1294	18627
13	1441	19152
14	1543	19034
15	1651	18994
16	1742	18757
17	1833	18535
18	1925	18345
19	2015	18142
20	2105	17943
21	2198	17784
22	2289	17617
23	2433	17845
24	2685	18799
25	2790	18672
26	2881	18461
27	2994	18393
28	3088	18214
29	3182	18036
30	3280	17885
31	3381	17753
32	3477	17596
33	3566	17414
34	3658	17248
35	3748	17076
36	3841	16921
37	3938	16790
38	4035	16661
39	4133	16534
40	4228	16399
41	4324	16268
42	4417	16129
43	4528	16055
44	4625	15930
45	4719	15798
46	4815	15675
47	4924	15593
48	5018	15466
49	5135	15406
50	5234	15291
51	5325	15157
52	5436	15077
53	5526	14942
54	5620	14817
55	5715	14697
56	5810	14576
57	5902	14450
58	5993	14323
59	6086	14202
60	6226	14188
61	6347	14127
62	6448	14022
63	6540	13899
64	6660	13832
65	6800	13807
66	6899	13695
67	6998	13585
68	7092	13466
69	7193	13359
70	7290	13246
71	7394	13146
72	7503	13053
73	7601	12942
74	7696	12826
75	7803	12732
76	7898	12617
77	7997	12508
78	8113	12426
79	8227	12341
80	8326	12232
81	8419	12115
82	8514	12002
83	8633	11922
84	8723	11802
85	8817	11687
86	8907	11569
87	8994	11448
88	9095	11343
89	9180	11221
90	9266	11099
91	9356	10983
92	9456	10879
93	9548	10767
94	9637	10652
95	9739	10551
96	9841	10450
97	9937	10343
98	10035	10238
99	10130	10130
100	10222	10019
101	10314	9910
102	10410	9803
103	10521	9712
104	10619	9608
105	10709	9496
106	10798	9385
107	10884	9271
108	10980	9166
109	11068	9056
110	11173	8958
111	11266	8852
112	11358	8744
113	11460	8645
114	11581	8559
115	11671	8451
116	11770	8350
117	11871	8249
118	11961	8142
119	12051	8034
120	12145	7929
121	12233	7821
122	12325	7715
123	12412	7607
124	12510	7506
125	12618	7410
126	12730	7317
127	12893	7252
128	12986	7147
129	13086	7046
130	13189	6947
131	13284	6843
132	13388	6744
133	13483	6640
134	13637	6566
135	13748	6469
136	13880	6383
137	13982	6282
138	14080	6179
139	14180	6077
140	14274	5973
141	14363	5866
142	14451	5760
143	14543	5655
144	14639	5552
145	14739	5451
146	14833	5348
147	14922	5243
148	15022	5141
149	15118	5039
150	15208	4935
151	15302	4832
152	15388	4727
153	15485	4625
154	15582	4524
155	15676	4421
156	15775	4320
157	15866	4217
158	15970	4118
159	16065	4016
160	16166	3916
161	16260	3814
162	16349	3711
163	16444	3609
164	16536	3507
165	16633	3406
166	16738	3307
167	16864	3212
168	16953	3109
169	17050	3008
170	17143	2907
171	17251	2808
172	17342	2706
173	17432	2604
174	17525	2503
175	17615	2402
176	17719	2302
177	17818	2202
178	17910	2101
179	18006	2000
180	18095	1899
181	18186	1798
182	18276	1697
183	18366	1597
184	18462	1496
185	18559	1396
186	18667	1297
187	18754	1197
188	18842	1096
189	18934	996
190	19029	896
191	19156	798
192	19341	701
193	19565	605
194	19659	504
195	19752	403
196	19839	302
197	19927	201
198	20018	100
199	20106	0
