ID,D1,D2,D3,D4,D5,D6,D7,A1,A2,A3,A4,A5,A6,A7,S1,S2,S3,S4,S5,S6,S7
UID_1,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
UID_2,1,0,1,0,0,0,0,2,0,3,3,2,0,2,2,3,3,3,1,0,3
UID_3,2,2,3,3,3,3,3,3,2,2,3,3,2,3,3,2,2,3,3,3,3
UID_4,0,1,1,1,1,0,0,1,0,1,1,2,0,2,0,0,0,1,0,1,1
UID_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UID_6,1,2,1,1,1,0,0,2,1,1,2,2,1,1,1,2,2,2,1,1,1
UID_7,0,0,0,0,0,0,0,3,0,0,2,1,1,1,1,1,1,1,0,0,1
UID_8,1,3,1,2,2,2,0,1,2,1,3,2,1,2,2,0,3,3,3,1,3
UID_9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,2
UID_10,0,1,2,3,1,3,2,3,0,2,2,3,1,3,2,1,3,3,1,0,2
UID_11,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1,2,2,1,1,1
UID_12,0,3,3,1,2,2,0,3,1,2,2,2,2,1,0,2,2,3,0,1,1
UID_13,1,0,0,0,3,1,0,2,0,1,0,0,1,1,2,0,1,2,1,2,0
UID_14,1,2,2,1,1,0,1,1,1,1,3,2,2,2,2,1,1,2,1,1,2
UID_15,1,1,0,0,1,0,1,3,1,1,0,0,0,0,2,2,0,0,0,2,0
UID_16,1,2,1,0,1,1,0,3,0,3,1,1,0,2,2,2,2,1,1,1,2
UID_17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,0,0
UID_18,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0,0,1
UID_19,1,1,1,1,1,0,0,0,1,1,3,2,1,3,1,1,3,3,1,2,3
UID_20,1,1,1,1,0,1,2,1,0,1,0,0,0,1,1,1,0,0,0,0,1
UID_21,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,1,1,0,1,1,0
UID_22,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
UID_23,1,1,1,2,0,2,1,2,1,2,2,2,2,3,3,3,3,3,2,1,3
UID_24,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1
UID_25,1,0,0,1,0,1,0,1,1,3,2,1,2,1,2,2,2,2,3,2,2
UID_26,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0
UID_27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
UID_28,2,2,1,3,2,2,1,2,0,1,2,1,2,2,1,1,2,1,1,1,1
UID_29,0,0,0,0,0,0,0,3,3,0,3,2,3,0,3,0,0,2,0,0,3
UID_30,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1
UID_31,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
UID_32,0,1,0,0,0,0,0,3,0,1,2,1,0,1,1,2,0,1,0,1,3
UID_33,1,1,1,1,0,1,1,2,0,0,1,1,1,1,0,0,0,1,0,0,2
UID_34,1,2,2,1,1,1,0,1,1,3,3,1,1,0,1,2,2,1,1,1,1
UID_35,1,1,1,0,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2
UID_36,0,1,0,0,0,1,0,3,0,3,1,0,1,0,2,2,0,0,2,1,2
UID_37,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
